country,Period,eval_test,runtime,MODEL_VERSION,MODEL_VERSION_NOTE,test
all,"('2017-11-29', '2019-10-31')",21200,00:00:12,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2138,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",918,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",453,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",741,00:00:04,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",143,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",211,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",429,00:00:05,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2034,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",170,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",18214,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",20371,00:00:10,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2264,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",993,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",540,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",649,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",147,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",200,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",379,00:00:06,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2005,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",177,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",21288,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",21252,00:00:10,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",1853,00:00:06,0.1,supervised learning model for time-series,False
